model	reference_model	pruned_atom_pairs	pruned_rmsd_to_reference	all_atom_pairs	all_pair_rmsd_to_reference	source_file	comparison	hypothesis	seed	system	nt	nt_numeric	dna_type	modifier	modifier_plot	system_short	hypothesis_short	group_short	hypothesis_short_plot
1	gpa_ssDNA_30nt_seed5_model_0	458	0.748	513	4.582	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	5	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s5-m1	A-dsDNA
2	gpa_ssDNA_30nt_seed5_model_0	446	0.776	513	3.369	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	5	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s5-m2	A-dsDNA
3	gpa_ssDNA_30nt_seed5_model_0	416	0.888	513	4.667	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	5	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s5-m3	A-dsDNA
4	gpa_ssDNA_30nt_seed5_model_0	447	0.81	513	2.413	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	5	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s5-m4	A-dsDNA
0	gpa_ssDNA_30nt_seed5_model_0	421	0.83	513	5.25	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	6	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s6-m0	A-dsDNA
1	gpa_ssDNA_30nt_seed5_model_0	421	0.905	513	4.919	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	6	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s6-m1	A-dsDNA
2	gpa_ssDNA_30nt_seed5_model_0	421	0.85	513	5.082	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	6	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s6-m2	A-dsDNA
3	gpa_ssDNA_30nt_seed5_model_0	435	0.836	513	5.475	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	6	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s6-m3	A-dsDNA
4	gpa_ssDNA_30nt_seed5_model_0	402	0.942	513	4.268	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	6	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s6-m4	A-dsDNA
0	gpa_ssDNA_30nt_seed5_model_0	390	0.776	513	4.406	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	7	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s7-m0	A-dsDNA
