test_type	dataset	group	exposure_var	outcome_var	exposure_focus	outcome_focus	n_total	a_exposed_outcome	b_exposed_no_outcome	c_unexp_outcome	d_unexp_no_outcome	odds_ratio	conf_low	conf_high	log_or_ln	log_conf_low_ln	log_conf_high_ln	log_or_log10	log_conf_low_log10	log_conf_high_log10	p_value	method	subset	exposure_set	p_adj	significant	odds_ratio_plot
fisher_odds_ratio	NA	F	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	8103	4342	576	2880	305	0.7983380283545011	0.6870777764184214	0.9263149942074297	-0.22522317679392173	-0.37530778149609856	-0.07654093564877312	-0.09781318287832072	-0.16299409851910696	-0.03324130599197406	0.002721576209652493	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	0.004677709110340223	TRUE	0.7983380283545011
fisher_odds_ratio	NA	F	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	8103	814	208	6408	673	0.41108305092244957	0.3453610295909444	0.49058536703283223	-0.8889600145284464	-1.0631649465286095	-0.7121559742784136	-0.38607042894233884	-0.46172666963034087	-0.3092854098835492	9.901328432663762e-22	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	3.4035816487281685e-21	TRUE	0.41108305092244957
fisher_odds_ratio	NA	F	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Unknown structure	Detrimental,Lethal	8103	18	1	7204	880	2.1986223903719644	0.3463008907133071	91.6878547122132	0.7878309780332505	-1.0604472554912843	4.518389924604246	0.3421506464322827	-0.46054639140931264	1.962311811342874	0.7140115970538072	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	0.785412756759188	FALSE	2.1986223903719644
fisher_odds_ratio	NA	G	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Core	Detrimental,Lethal	3270	731	263	1246	1030	2.2970733204202634	1.9460227572687772	2.7163758450555706	0.831635843276004	0.6657876780781566	0.9992985819545152	0.3611748576877261	0.289147914708522	0.4339898599165904	1.3224790203709594e-24	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	4.8490897413601855e-24	TRUE	2.2970733204202634
fisher_odds_ratio	NA	G	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	3270	1080	505	897	788	1.8783949339210892	1.6249845646622885	2.1723854649317182	0.6304176536298438	0.48549831706722724	0.7758258563679715	0.2737869082658367	0.21084924007561212	0.33693688833847485	2.9270953613599788e-18	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	9.470014404399931e-18	TRUE	1.8783949339210892
fisher_odds_ratio	NA	G	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	3270	166	525	1811	768	0.13418152248126716	0.10978903907183578	0.16338113697965687	-2.0085617503529116	-2.2091945811935476	-1.811669543981006	-0.8723072847402065	-0.9594410160629231	-0.7867980859831315	1.9872275172340885e-107	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	2.1859502689574973e-106	TRUE	0.13418152248126716
fisher_odds_ratio	NA	H	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	6174	1199	1009	2370	1596	0.8002633815365608	0.7194262287185085	0.8902148052062423	-0.22281437857679928	-0.3293012892268943	-0.11629249121286507	-0.09676705510460605	-0.14301373279486693	-0.0505051872205297	3.4596454111849265e-5	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	6.561396469488654e-5	TRUE	0.8002633815365608
fisher_odds_ratio	NA	H	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	6174	126	101	3443	2504	0.9073060701255308	0.6890778905485672	1.1970451375387274	-0.09727543251092356	-0.3724009656663208	0.17985613475269963	-0.04224618356424629	-0.16173168444432545	0.07811052685954513	0.4938073447068351	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	0.603542310197243	FALSE	0.9073060701255308
fisher_odds_ratio	NA	H	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Unknown structure	Detrimental,Lethal	6174	2244	1495	1325	1110	1.2573831769997688	1.1326003799327744	1.3959274587852077	0.2290327176819729	0.12451621014936934	0.33355903936911363	0.09946764546458617	0.054076702975376784	0.1448628501869556	1.3612606296205283e-5	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	2.7729383195973726e-5	TRUE	1.2573831769997688
fisher_odds_ratio	NA	J	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	713	349	126	170	68	1.10777288304327	0.7691122708633575	1.5882850910655102	0.10235158811115912	-0.2625183242117193	0.46265487509043784	0.04445072993071088	-0.1140102596036385	0.2009284592774154	0.5926753945987141	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	0.6935563128282825	FALSE	1.10777288304327
